"villa_maria;db_villa_maria_public;public;desagues_pluviales;;desagues_pluviales;Red de desagües;orden:202,desagues,servicios;;4326;gid;;;gid,geom;Cobertura del servicio de desagües pluviales.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;gestion_calles;;gestion_calles;Gestión calles;orden:203,calles,calle;;4326;gid;;;gid,geom, estado;Gestion del estado de las calles con referencia a pavimento, cordon cuneta o tierra.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;luminarias;;luminarias;Luminarias;orden:204,luminarias,alumbrado,servicios;;4326;gid;;;gid,geom, tipo_lampa, codigo;Luminarias que integran la red de alumbrado publico.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;tableros_alumbrado;;tableros_alumbrado;Tableros de alumbrado;orden:204,luminarias,alumbrado,servicios;;4326;gid;;;gid,geom, codigo;Tableros que comandan el sistema de alumbrado publico.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;red_vial;;red_vial;Calles;orden:300,calles,vial,camino,via,ruta;;4326;gid;;;gid,geom, nombre, barrio;Calles de la ciudad de Villa María.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;red_vial_primaria;;red_vial_primaria;Red vial primaria;orden:301,calles,vial,camino,via,ruta;;4326;gid;;;gid,geom, fna;Avenidas de acceso a la ciudad de Villa María.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;ferrocarril;;ferrocarril;Ferrocarril;orden:302,estructuras,vias,ferrocarril,tren,;;4326;gid;;;gid,geom, fna;Vía férrea constituida por dos o tres rieles paralelos entre sí, sobre los cuales encajan y giran las ruedas de los trenes.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;estacion_ferrocarril;;estacion_ferrocarril;Estación ferrocarril;orden:303,estacion,parada,ferrocarril,tren;;4326;gid;;;gid,geom, fna;Instalación edilicia y demás dependencias donde regularmente se detiene el transporte ferroviario, suben y bajan pasajeros y / o mercancías. ;point_villamaria;"
"villa_maria;db_villa_maria_public;public;lineas_colectivos;;lineas_colectivos;Líneas colectivo urbano;orden:304,colectivos,autobus,transporte;;4326;gid;;;gid,geom, nombre;Recorrido de la línea de autotransporte público de pasajeros .;line_villamaria;"
"villa_maria;db_villa_maria_public;public;pista_aeropuerto;;pista_aeropuerto;Pista de aeropuerto;orden:305,aeronaves,avion,pista,embarque;;4326;gid;;;gid,geom, objeto;Calzada rectangular de asfalto, definida en un campo de aviación o aeropuerto, utilizada para despegue y aterrizaje de aeronaves.;line_villamaria;"
"villa_maria;db_villa_maria_public;public;aeropuerto_regional;;aeropuerto_regional;Aeropuerto;orden:306,aeronaves,avion,pista,embarque;;4326;gid;;;gid,geom, fna;Zona definida sobre tierra (incluidos eventuales edificios, instalaciones y equipos), cuyo propósito es ser utilizada total o parcialmente para la llegada, salida y movimiento en superficie de aeronaves y / o helicópteros.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;terminal_omnibus;;terminal_omnibus;Terminal de ómnibus;orden:307,terminal,omnibus,colectivo;;4326;gid;;;gid,geom, fna;Predio destinado a la maniobra de ómnibus nacionales e internacionales, carga, ascenso y descenso de pasajeros.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;centro_transferencia;;centro_transferencia;Centro de transferencia;orden:308,transferencia,trasbordo;;4326;gid;;;gid,geom, nombre;Centro de transferencia del transporte urbano de colectivos, donde los usuarios realizan combinaciones de líneas.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;perfiles_constructivos;;perfiles_constructivos;Perfiles constructivos;orden:400,perfiles,constructivos;;4326;gid;;;gid,geom, referencia, ordenanza, link;Mapa temático con los perfils constructivos contemplados en la Ordenanza 6402.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;limites_zona_periurbana;;limites_zona_periurbana;Límites periurbano;orden:401,limites, periurbano;;4326;gid;;;gid,geom, zonas, limites_zo;Descripción los límites urbanos de cada zona en que se divide el Área Periurbana de la ciudad de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;uso_suelo_periurbano;;uso_suelo_periurbano;Uso de suelo periurbano;orden:402,suelo,periurbano;;4326;gid;;;gid,geom, zona, uso, nombre, caracteris;Descripción de los usos del suelo relevados en el Área Periurbana de la ciudad de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;instituciones_desarrollo_social;;instituciones_desarrollo_social;Instituciones desarrollo social;orden:500,instituciones,centros,hogares;;4326;gid;;;gid,geom, nombre;Instituciones que trabajan en el área de Desarrollo Social de la Municipalidad de Villa María.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;centros_salud;;centros_salud;Centros de salud;orden:501,salud,medicina,hospitales;;4326;gid;;;gid,geom, nombre, direccion, telefono, dependencia;Instituciones públicas y privadas que prestan el servicio de atención de la salud.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;sedes_centros_vecinales;;sedes_centros_vecinales;Centros vecinales;orden:502,centro,vecinal,comunitario;;4326;gid;;;gid,geom, nombre;Sedes de los Centros Vecinales de la ciudad de Villa María;point_villamaria;"
"villa_maria;db_villa_maria_public;public;municercas_sedes;;municercas_sedes;Municercas (sedes);orden:503,municercas,municipalidad;;4326;gid;;;gid,geom, nombre;Sedes de los Municercas (oficinas decentralizadas de la Municipalidad);point_villamaria;"
"villa_maria;db_villa_maria_public;public;municercas_areas_cobertura;;municercas_areas_cobertura;Municercas;orden:504,municercas,municipalidad;;4326;gid;;;gid,geom, nombre, direccion, telefono;Area geográfica de cobertura de cada Municerca.;polygon_villamaria;"
